t	bincall	amcall	binput	amput
0.8	66.75799635	66.75799635	46.7147106	47.70301322
0.808219178	67.07723198	67.07723198	46.93376027	47.93479032
0.816438356	67.39476544	67.39476544	47.15115142	48.1649212
0.824657534	67.71062079	67.71062079	47.36690806	48.39342969
0.832876712	68.02482149	68.02482149	47.58105366	48.62033905
0.84109589	68.33739044	68.33739044	47.79361108	48.845672
0.849315068	68.64835	68.64835	48.00460265	49.06945067
0.857534247	68.95772198	68.95772198	48.21405019	49.2916967
0.865753425	69.26552769	69.26552769	48.42197499	49.51243122
0.873972603	69.57178794	69.57178794	48.62839783	49.73167484
0.882191781	69.87652309	69.87652309	48.83333903	49.94944772
0.890410959	70.17975299	70.17975299	49.03681846	50.16576955
0.898630137	70.48149707	70.48149707	49.23885551	50.38065959
0.906849315	70.78177432	70.78177432	49.43946916	50.5942224
0.915068493	71.08060331	71.08060331	49.63867795	50.80696254
0.923287671	71.37800221	71.37800221	49.83650004	51.01832853
0.931506849	71.67398878	71.67398878	50.03295316	51.22833792
0.939726027	71.96858041	71.96858041	50.22805469	51.4370079
0.947945205	72.2617941	72.2617941	50.42182162	51.64435531
0.956164384	72.55364652	72.55364652	50.61427058	51.8503966
0.964383562	72.84415396	72.84415396	50.80541786	52.05514789
0.97260274	73.13333239	73.13333239	50.9952794	52.25862495
0.980821918	73.42119745	73.42119745	51.18387082	52.46084325
0.989041096	73.70776444	73.70776444	51.37120742	52.66181793
0.997260274	73.99304839	73.99304839	51.55730418	52.86156381
1.005479452	74.27706398	74.27706398	51.74217579	53.06009542
1.01369863	74.55982564	74.55982564	51.92583664	53.25742701
1.021917808	74.84134748	74.84134748	52.10830083	53.45357253
1.030136986	75.12164336	75.12164336	52.28958221	53.64854567
1.038356164	75.40072685	75.40072685	52.46969432	53.84235984
1.046575342	75.67861128	75.67861128	52.64865047	54.0350282
1.054794521	75.9553097	75.9553097	52.82646371	54.22656366
1.063013699	76.23083494	76.23083494	53.00314682	54.41697888
1.071232877	76.50519956	76.50519956	53.17871237	54.60628628
1.079452055	76.77841591	76.77841591	53.35317268	54.79449804
1.087671233	77.0504961	77.0504961	53.52653983	54.98162613
1.095890411	77.32145201	77.32145201	53.6988257	55.16768228
1.104109589	77.59129532	77.59129532	53.87004193	55.35267802
1.112328767	77.86003749	77.86003749	54.04019998	55.53662468
1.120547945	78.12768976	78.12768976	54.20931108	55.71953335
1.128767123	78.3942632	78.3942632	54.37738625	55.90141495
