n	Monte-Carlo	Black-Scholes
3180	9.609712721	10.02906298
3190	9.617743171	10.02906298
3200	9.631963744	10.02906298
3210	9.622994815	10.02906298
3220	9.650040091	10.02906298
3230	9.646699616	10.02906298
3240	9.622438613	10.02906298
3250	9.610674527	10.02906298
3260	9.614368929	10.02906298
3270	9.60972232	10.02906298
3280	9.59350734	10.02906298
3290	9.593948982	10.02906298
3300	9.598951277	10.02906298
3310	9.612663639	10.02906298
3320	9.604054606	10.02906298
3330	9.595749225	10.02906298
3340	9.602391748	10.02906298
3350	9.605011366	10.02906298
3360	9.636180893	10.02906298
3370	9.654177843	10.02906298
3380	9.658209701	10.02906298
3390	9.663091227	10.02906298
3400	9.650217547	10.02906298
3410	9.671150039	10.02906298
3420	9.703143248	10.02906298
3430	9.701179543	10.02906298
3440	9.688546201	10.02906298
3450	9.691961917	10.02906298
3460	9.680585419	10.02906298
3470	9.678660167	10.02906298
3480	9.689575947	10.02906298
3490	9.711191942	10.02906298
3500	9.70722256	10.02906298
3510	9.690165167	10.02906298
3520	9.729493462	10.02906298
3530	9.720449855	10.02906298
3540	9.706472966	10.02906298
3550	9.732363246	10.02906298
3560	9.712330374	10.02906298
3570	9.703247006	10.02906298
3580	9.710213102	10.02906298
3590	9.728360218	10.02906298
3600	9.71979128	10.02906298
3610	9.705906515	10.02906298
3620	9.716529363	10.02906298
3630	9.744408916	10.02906298
3640	9.768516004	10.02906298
3650	9.773307768	10.02906298
3660	9.767031652	10.02906298
3670	9.771540556	10.02906298
3680	9.785348841	10.02906298
3690	9.772275619	10.02906298
3700	9.774663354	10.02906298
3710	9.767153563	10.02906298
3720	9.774253617	10.02906298
3730	9.759326235	10.02906298
3740	9.75212824	10.02906298
3750	9.736852739	10.02906298
3760	9.733411497	10.02906298
3770	9.730693447	10.02906298
3780	9.74549324	10.02906298
3790	9.752265015	10.02906298
3800	9.76033818	10.02906298
3810	9.756464783	10.02906298
3820	9.769293978	10.02906298
3830	9.773588618	10.02906298
3840	9.763099872	10.02906298
3850	9.77162402	10.02906298
3860	9.76709002	10.02906298
3870	9.749051521	10.02906298
3880	9.745817464	10.02906298
3890	9.760148734	10.02906298
3900	9.753526888	10.02906298
3910	9.747107322	10.02906298
3920	9.766477505	10.02906298
3930	9.753176978	10.02906298
3940	9.750181921	10.02906298
3950	9.749989339	10.02906298
3960	9.787573942	10.02906298
3970	9.773504478	10.02906298
3980	9.77753432	10.02906298
3990	9.794631073	10.02906298
4000	9.800726159	10.02906298
4010	9.814280879	10.02906298
4020	9.827666367	10.02906298
4030	9.818357753	10.02906298
4040	9.835141039	10.02906298
4050	9.827032769	10.02906298
4060	9.830577307	10.02906298
4070	9.814097786	10.02906298
4080	9.802232568	10.02906298
4090	9.794506462	10.02906298
4100	9.822735124	10.02906298
4110	9.804158995	10.02906298
4120	9.841635179	10.02906298
4130	9.826003027	10.02906298
4140	9.828689314	10.02906298
4150	9.813704529	10.02906298
4160	9.805180652	10.02906298
4170	9.811038469	10.02906298
4180	9.817846518	10.02906298
